rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
1501,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Schenke Delikatessen GmbH & CO. KG,User/Other,1,1499.9634,Retail,Gutersloh,Retail,Gutersloh,North Rhine-Westphalia,,2026-03-13 00:00:00
1502,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,MF Vestische Straße eGbR,User/Other,1,1379.966328,Office,Oberhausen,Office,Oberhausen,North Rhine-Westphalia,,2025-08-18 00:00:00
1503,4c48b00f-c8f6-419c-a5d2-da2b723242e8,K & S – Dr. Krantz Sozialbau und Betreuung SE & Co. KG DE,Private,1,5639.862384,Dev Site,Kelheim,Dev Site,Kelheim,Bavaria,,2025-09-30 00:00:00
1504,326ddca6-1c67-48ce-be63-b66657c9e234,Beermann Immobilien verwaltung GmbH & Co. KG,<unknown>,1,2479.939488,Retail,Bottrop,Retail,Bottrop,North Rhine-Westphalia,,2026-04-14 00:00:00
1505,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Fasa AG DE,Private,1,8799.78528,Hotel,Oberwiesenthal,Hotel,Oberwiesenthal,Saxony,,2024-12-22 00:00:00
1506,4af65ca6-6cf9-4854-8eca-beb28711654d,Roomwise,User/Other,1,2999.9268,Apartment,Munich,Apartment,Munich,Bavaria,,2025-02-14 00:00:00
1507,4c48b00f-c8f6-419c-a5d2-da2b723242e8,DPI Deutsche Projekt Invest,Private,1,6399.84384,Retail,Querfurt,Retail,Querfurt,Saxony-Anhalt,,2026-01-22 00:00:00
1508,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Nymphenburger Beteiligungs AG,Private,1,,Apartment,Munich,Apartment,Munich,Bavaria,,2025-12-18 00:00:00
1509,4c48b00f-c8f6-419c-a5d2-da2b723242e8,K & F Holding,Private,1,2399.9786,Hotel,Eppingen,Hotel,Eppingen,Baden-Wurttemberg,,2026-04-16 00:00:00
1510,bd5657ae-402e-4677-a035-dc18a547bcae,Deutscher Beamtenwirtschaftsbund (DBW),User/Other,1,8096.8024332,Hotel,Berlin,Hotel,Berlin,Berlin,,2025-08-01 00:00:00
1511,e27ce0ab-e4d8-4aa2-b8d3-741c26f635e6,Halbe-Rahmen,User/Other,1,5699.86092,Industrial,Kirchen (Sieg),Industrial,Kirchen (Sieg),Rhineland-Palatinate,,2026-03-06 00:00:00
1512,4c48b00f-c8f6-419c-a5d2-da2b723242e8,SIGMA Holding GmbH,Private,1,22499.451,Industrial,Obernburg am Main,Industrial,Obernburg am Main,Bavaria,,2025-12-01 00:00:00
1513,4c48b00f-c8f6-419c-a5d2-da2b723242e8,FAM Real,Private,1,7507.8168048,Office,Stuttgart,Office,Stuttgart,Baden-Wurttemberg,,2024-08-15 00:00:00
1514,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Unternehmensgruppe Schreiber,Private,1,3799.90728,Retail,Grunstadt,Retail,Grunstadt,Rhineland-Palatinate,,2025-03-24 00:00:00
1515,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Kirk Real Estate eGbR,Private,1,4799.88288,Office,Aschaffenburg,Office,Aschaffenburg,Bavaria,,2024-12-10 00:00:00
1516,90df7fbf-1db3-4d82-aff7-91f7bec4a403,Ver­ei­nig­te Gmün­der Woh­nungs­bau­ge­sell­schaft mbH,Private,1,6499.8414,Dev Site,Schwabisch Gmund,Dev Site,Schwabisch Gmund,Baden-Wurttemberg,,2025-12-18 00:00:00
1517,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Rhein-Ruhr-Invest,Private,1,,Apartment,Bottrop,Apartment,Bottrop,North Rhine-Westphalia,,2025-11-17 00:00:00
1518,4c48b00f-c8f6-419c-a5d2-da2b723242e8,Gebr. Wurm Immobilien GmbH,Private,1,9983.7563904,Industrial,Cologne,Industrial,Cologne,North Rhine-Westphalia,,2024-10-02 00:00:00
1519,ebea7e75-7046-4075-a1b9-aa87c89c894a,Hanuschk Immobilien Projekte,Private,1,6982.8296148,Office,Braunschweig,Office,Braunschweig,Lower Saxony,,2025-03-24 00:00:00
1520,6b155fe7-f659-4669-93b0-cdb69a40a070,Kieler Wohnungsgesellschaft mbH & Co. KG,User/Other,1,10629.740628,Apartment,Kiel,Apartment,Kiel,Schleswig-Holstein,,2025-02-14 00:00:00
