rank,Company ID,Investor,Capital Group,Current Holdings (objects),Holdings Area (m²),Main Holding Type,Main Holding Cities,Active Property Types,Active Cities,Active Regions,Entities / Vehicles Used,Last Activity
1101,59e140c7-80be-418a-ab34-891ba027db32,Bouwhuis Groep (NL),Private,2,2099.9312831959,Retail,Kassel,Retail,Kassel,Hesse,,2008-10-08 00:00:00
1102,975b0188-8cb0-4c7a-91a0-5d98bdd643d2,FH Innova,Private,2,89997.804,Dev Site,Garmisch-Partenkirchen,Dev Site,Garmisch-Partenkirchen,Bavaria,,2013-09-04 00:00:00
1103,ae5a8696-a6f8-4179-85e0-dfbf960f6c62,Peek & Cloppenburg Group,User/Other,2,17999.5608,Retail,Karlsruhe; Ludenscheid,Retail,Karlsruhe; Leipzig; Berlin,Baden-Wurttemberg; Saxony; Berlin,,2010-05-15 00:00:00
1104,5e4936ff-e152-4bf1-97e2-458f4860dbbb,Rural King,User/Other,2,39151.0446912,Office,Munich; Frankfurt am Main,Office,Munich; Frankfurt am Main,Bavaria; Hesse,ABG Real Estate,2022-02-24 00:00:00
1105,5961bcc8-2e11-4e10-8a0d-96d132abb5d9,Tenkhoff Properties,Private,2,32548.2058044,Office; Retail,Bad Homburg vor der Hohe; Krefeld,Retail; Office,Bad Homburg vor der Hohe; Krefeld; Rostock,Hesse; North Rhine-Westphalia; Mecklenburg-West Pomerania,,2016-09-01 00:00:00
1106,e77b098d-8393-46e3-9128-40c5a2e6d6cb,Kiefer & Zehner,Private,2,50998.45594176,Dev Site,Solingen; Uetersen,Dev Site,Solingen; Uetersen,North Rhine-Westphalia; Schleswig-Holstein,,2022-12-07 00:00:00
1107,63f75d44-be11-44f8-b419-3c0a8869765b,Avonia,Private,2,6999.8292,Dev Site,Stuttgart; Esslingen am Neckar,Dev Site,Stuttgart; Esslingen am Neckar,Baden-Wurttemberg,,2017-04-20 00:00:00
1108,b84fcda0-eef8-4943-ac72-9a336af3cc3b,AyCo Hyp Group,Private,2,6034.852746,Apartment,Bohlen; Wittingen,Apartment,Wittingen; Bohlen,Lower Saxony; Saxony,,2015-04-23 00:00:00
1109,f8edbdb1-8194-4140-a56b-b58580a00049,Strassberger Immobilien,Private,2,24730.3965636,Dev Site,Kassel; Rendsburg,Dev Site; Office,Kassel; Rendsburg,Hesse; Schleswig-Holstein,,2020-07-01 00:00:00
1110,0e372841-bdf7-42e4-a69b-f4db6e4fb2d9,Orlando Group,Private,2,6099.85116,Apartment,Magdeburg,Apartment,Berlin; Magdeburg,Saxony-Anhalt; Berlin,,2021-02-18 00:00:00
1111,878e483e-81e2-476c-9004-79ed93a9285a,Areal GrundstucksgmbH,Private,2,3699.90972,Office; Apartment,Dusseldorf; Cologne,Office; Apartment,Dusseldorf; Cologne,North Rhine-Westphalia,,2016-08-29 00:00:00
1112,9b4bd976-6b2d-4580-a1a5-e56a5480be90,Pro Urban GmbH,Private,2,17299.57788,Dev Site,Grevenbroich; Dusseldorf,Dev Site; Seniors Housing & Care,Grevenbroich; Meppen; Dusseldorf,North Rhine-Westphalia; Lower Saxony,,2015-06-25 00:00:00
1113,674f3334-d3a4-41b8-857a-4adc5f6e05f8,City of Rheine,User/Other,2,26099.36316,Dev Site; Retail,Rheine,Dev Site; Retail,Rheine,North Rhine-Westphalia,,2017-05-08 00:00:00
1114,5855175b-1409-4172-a5d1-aa36ac106e67,Freiburger Stadtbau,Private,2,3499.9146,Apartment,Freiburg im Breisgau,Apartment,Freiburg im Breisgau,Baden-Wurttemberg,,2013-07-23 00:00:00
1115,3ab290b7-28e7-4d20-aaa8-bcfa1e9a364c,Asset Projekt und Bau,Private,2,35199.14112,Retail,Magdeburg; Kassel,Retail,Magdeburg; Kassel,Saxony-Anhalt; Hesse,,2017-10-05 00:00:00
1116,761daf7c-85f6-44ba-a7e6-ea50e9c8de8a,Bauhaus Bautrager,Private,2,18199.55592,Dev Site,Erlangen; Furth,Dev Site; Apartment,Erlangen; Furth; Potsdam,Bavaria; Brandenburg,,2015-10-06 00:00:00
1117,6f0a765b-473b-452d-94a3-8c243ade5857,Richebourg Vastgoed,Institutional,2,3124.89774285103,Office; Retail,Deggendorf; Limburg an der  Lahn,Office; Retail,Deggendorf; Limburg an der  Lahn,Bavaria; Hesse,,2008-02-15 00:00:00
1118,597c4f60-7287-481c-80e1-822c9de9241c,Einsiedel & Partner,Private,2,,Apartment; Seniors Housing & Care,Bramsche,Apartment; Seniors Housing & Care,Bramsche,Lower Saxony,,2011-10-04 00:00:00
1119,bd848eb4-50bd-44ed-aa9d-064a3b05bb72,Nordic Hotels,Private,2,,Hotel,Rendsburg; Bielefeld,Hotel,Rendsburg; Bielefeld,Schleswig-Holstein; North Rhine-Westphalia,,2015-04-10 00:00:00
1120,e0d375e7-90ed-48fe-ae1c-d646b8972984,Hamburger Hochbahn,User/Other,2,5420.8677276,Office,Hamburg,Office,Hamburg,Hamburg,,2019-10-10 00:00:00
